nombre,poblacion
Acacoyagua,19856
Acala,34494
Acapetahua,31069
Altamirano,35982
Amatan,21836
Chinipas,8541
Delicias,160245
Dr. Belisario Dominguez,2770
Galeana,7056
Santa Isabel,4293
Gomez Farias,9599
Gran Morelos,2787
Guachochi,49926
Guadalupe,5080
Guadalupe y Calvo,58658
Amatenango de la Frontera,33860
Guerrero,42409
Hidalgo del Parral,117624
Huejotitan,1070
Ignacio Zaragoza,7488
Janos,11778
Jimenez,45709
Juarez,1464930
Julimes,4913
Lopez,4342
Madera,30936
Maguarichi,1731
Manuel Benavides,1562
Matachi,3306
Matamoros,4847
Meoqui,48242
Morelos,8309
Moris,5520
Amatenango del Valle,10779
Bejucal de Ocampo,8324
Nonoava,2831
Nuevo Casas Grandes,67320
Ocampo,7989
Ojinaga,29996
Huitzilac,20372
Jantetelco,18361
Jiutepec,227649
Jojutla,61366
Jonacatepec,16732
Mazatepec,10691
Miacatlan,28263
Ocuituco,19683
Puente de Ixtla,70917
Temixco,123812
Bella Vista,22028
Bochil,38101
El Bosque,24374
Cacahoatan,50439
Catazaja,19006
Cintalapa,93518
Coapilla,10035
Comitan de Dominguez,170498
La Concordia,50535
Copainala,24030
Chalchihuitan,18016
Chamula,95357
Xochimilco,418060
Tepoztlan,51373
Tetecala,8326
Tetela del Volcan,22015
Magdalena Peñasco,3644
Hidalgo,4165
Chanal,13332
Chapultenango,8248
Chenalho,43453
Chiapa de Corzo,111223
Chiapilla,6406
Coneto de Comonfort,4649
Cuencame,37479
Durango,695597
General Simon Bolivar,10812
Gomez Palacio,369760
Guadalupe Victoria,37792
Guanacevi,10512
Chicoasen,5605
Chicomuselo,38122
Chilon,140023
Escuintla,34628
Inde,5392
Lerdo,164763
Mapimi,28301
Mezquital,40593
Nazas,13877
Nombre de Dios,20881
Ocampo,10333
El Oro,12281
Otaez,5513
Panuco de Coronado,12907
Peñon Blanco,11538
Poanas,26935
Pueblo Nuevo,53006
Rodeo,14407
San Bernardo,3459
San Dimas,20114
San Juan de Guadalupe,5917
San Juan del Rio,13310
Amatlan de Cañas,12736
Compostela,81920
Huajicori,13540
Francisco Leon,8278
Frontera Comalapa,80805
Frontera Hidalgo,15741
Suchil,6766
Tamazula,27368
Tepehuanes,11545
Jala,20016
Xalisco,62038
Del Nayar,45317
Mazapa de Madero,8552
Coroneo,12998
Cortazar,101319
Cueramaro,29959
Doctor Mora,25606
Dolores Hidalgo Cuna de la Independencia Nacional,160771
Guanajuato,198035
Huanimaro,22612
Irapuato,610700
Jaral del Progreso,41154
Jerecuaro,51332
Leon,1679610
Moroleon,54378
Ocampo,24758
Penjamo,159968
Mazatan,31856
Purisima del Rincon,86012
Romita,62603
Salamanca,293293
Salvatierra,106978
San Diego de la Union,41588
San Felipe,118417
San Francisco del Rincon,125904
San Jose Iturbide,83562
San Luis de la Paz,127678
Santa Catarina,5584
Santa Cruz de Juventino Rosas,88644
Santiago Maravatio,7327
Silao de la Victoria,201020
Metapa,6191
Uriangato,67184
Valle de Santiago,153094
Victoria,21521
Villagran,62918
Xichu,12285
Yuriria,73948
Acapulco de Juarez,840795
Ahuacuotzingo,27366
Ajuchitlan del Progreso,38895
Alcozauca de Guerrero,20112
Ruiz,26928
San Blas,48024
San Pedro Lagunillas,8231
Santa Maria del Oro,25510
Santiago Ixcuintla,106038
Tecuala,43043
Tepic,445889
Tuxpan,33358
La Yesca,14962
Bahia de Banderas,174510
Magdalena Teitipac,4782
Huejutla de Reyes,139683
Atizapan de Zaragoza,557108
Epitacio Huerta,17519
Mitontic,13286
Motozintla,79732
Alpoyeca,6959
Apaxtla,11719
Nicolas Ruiz,4726
Ocosingo,239322
Arcelia,32547
Atenango del Rio,8914
Ocotepec,13773
Atoyac de Alvarez,62574
Ayutla de los Libres,70242
Benito Juarez,15926
Buenavista de Cuellar,13737
Coahuayutla de Jose Maria Izazaga,12661
Cocula,14050
Copala,14641
Copalillo,15096
Copanatoyac,20779
Coyuca de Benitez,78931
Coyuca de Catalan,40408
Cuajinicuilapa,27919
Huejucar,6197
Banamichi,1797
Ahuacatlan,17226
Osumacinta,4110
Oxchuc,51731
Palenque,131491
Pantelho,24107
Pantepec,13370
Pichucalco,34340
Pijijiapan,58167
San Marcos,50859
San Miguel Totolapan,28289
Rayon,10564
Reforma,49480
Las Rosas,30874
Sabanilla,29348
Salto de Agua,68779
San Cristobal de las Casas,231345
San Fernando,42939
Siltepec,39536
Simojovel,48046
Sitala,15524
Socoltenango,20161
