Año,Mes, Siniestro ocurrido 
2017,2," 2,318,175.93 "
2019,5," 135,266.23 "
2017,1," 100,451.96 "
2019,4," 206,274.23 "
2019,8," 1,112,118.19 "
2017,12," 137,310.75 "
2016,9," 130,401.18 "
2019,9," 315,315.16 "
2017,5," 307,956.49 "
2017,5," 317,252.16 "
2018,12," 2,867,968.05 "
2018,12," 203,653.90 "
2016,8," 304,439.98 "
2019,11," 314,201.65 "
2019,6," 359,203.15 "
2019,4," 137,200.94 "
2018,10," 769,424.39 "
2019,7," 277,718.34 "
2016,11," 67,077.18 "
2016,7," 775,344.87 "
2019,8," 140,915.21 "
2016,3," 265,829.16 "
2017,5," 1,290,335.99 "
2019,6," 321,782.84 "
2018,10," 168,769.31 "
2018,12," 396,601.18 "
2017,5," 1,098,232.55 "
2019,2," 263,846.60 "
2017,2," 489,873.25 "
2019,12," 111,791.78 "
2017,2," 1,404,737.81 "
2016,7," 191,450.15 "
2016,9," 391,630.66 "
2017,8," 562,925.55 "
2016,12," 1,997,264.91 "
2018,8," 769,868.54 "
2018,9," 218,198.57 "
2019,11," 257,745.18 "
2018,11," 174,244.05 "
2019,2," 299,230.99 "
2018,12," 350,153.63 "
2019,11," 202,781.99 "
2018,11," 1,222,726.08 "
2019,1," 365,740.96 "
2018,4," 78,455.81 "
2017,9," 621,907.81 "
2019,1," 13,391.90 "
2017,7," 960,749.34 "
2019,11," 279,829.62 "
2018,11," 196,685.38 "
2019,3," 560,458.05 "
2019,7," 69,366.44 "
2018,4," 277,347.68 "
2019,2," 174,938.21 "
2018,1," 211,918.30 "
2018,10," 1,181,477.19 "
2020,5," 415,001.31 "
2019,11," 664,172.95 "
2017,5," 115,346.50 "
2016,7," 307,340.50 "
2018,12," 409,360.88 "
2018,4," 547,902.31 "
2018,3," 70,911.57 "
2017,12," 1,827,366.57 "
2019,2," 174,743.32 "
2018,12," 424,265.62 "
2019,4," 193,006.59 "
2019,6," 801,896.12 "
2020,4," 299,316.17 "
2018,11," 47,049.79 "
2018,9," 99,326.79 "
2019,12," 115,284.53 "
2019,2," 155,016.52 "
2017,10," 212,910.08 "
2018,12," 5,310,594.97 "
2019,9," 313,569.06 "
2019,3," 233,232.12 "
2018,9," 2,610,249.04 "
2017,6," 55,436.67 "
2016,6," 1,093,293.13 "
